"","hit","speed","hprice","price","time","qualif","title","desc","first","last","max","min","meanspeed","varspeed","group","date","order"
"1","20AC0RYNJ92NEL11DGDJXUI01AK491",0.388888888888889,0.158092848180678,0.07,1594,"[ ""HIT approval rate (%) is greater than 90""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",30,32,314,307,-0.388888888888889,312.5,219,"2013-12-22-00-26",18
"2","20AC0RYNJ92NGZ8TCADJ2UH018P49E",1.0377358490566,1.8,0.03,60,"[ ""Masters has been granted""]","Pull web traffic data from Similarweb","Go to similarweb.com and enter one piece of data",3,55,707,212,-1.05769230769231,117.234917043741,223,"2013-12-10-01-14",2
"3","20AC0RYNJ92NJMI71MDJXUIZ57L49Y",0.142330501682962,0.1,0.05,1800,"[ ""Data Entry for Postcards is 1"" , ""HIT approval rate (%) is not less than 96"" , ""Location is US""]","Enter Detailed Information for a Postcard","Please view the image contained in this HIT and enter appropriate data",2006,2699,969,81,-0.142376142376142,18.0261992342917,62,"2013-11-26-18-12",3
"4","20AC0RYNJ92NJO1FSODJ2UH026P491",33.7727272727273,0.05,0.05,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",5,49,14028,654,-33.7727272727273,15045.6257928118,15,"2014-01-18-18-14",57
"5","20AC0RYNJ92NRCR3W5DJXUI204J94I",0,0.1,0.05,1800,"[ ""HIT approval rate (%) is greater than 96""]","Average Values in Scatterplots","Following is a set of scatterplot graphs. Your task is to determine which one of two classes has the highest average height value.",7,43,160,160,0,0.228571428571429,11,"2013-12-04-13-11",2
"6","20AC0RYNJ92NRCR3W5DJXUI239G49N",0.0114942528735632,0.02,0.01,1800,"[ ""HIT approval rate (%) is greater than 96"" , ""Location is US""]","What Do Kids Want For Christmas?","Please only complete this survey if you HAVE children under the age of 18. If you do not have children under the age of 18, please do not take this survey. Please review the questions and answers them as honestly as possible.",3,32,539,536,-0.0114942528735632,0.381773399014778,285,"2013-12-03-22-47",2
"7","20AC0RYNJ92NRCR3W5DJXUI245H49H",0,0.04,0.02,1800,"[ ""HIT approval rate (%) is greater than 96""]","Simple visual research experiment","You will be asked to decide if a circle is on the left hand side or right hand side of an image, relative to a black line at the bottom of the image.",1,4,270,270,0,0,251,"2013-12-11-00-57",1
"8","20AC0RYNJ92NRCR3W5DJXUI252H94H",-0.00158730158730159,0.1,0.05,1800,"[ ""HIT approval rate (%) is greater than 96""]","Choose the right image for the corresponding tag","* A tag(word) is provided",5,69,67,68,0.00173611111111111,0.364831349206349,30,"2013-12-23-03-45",2
"9","20AC0RYNJ92NSGED90DJ4UHY0AL498",0.0231481481481481,1,0.1,360,"[ ""Categorization Masters has been granted""]","Tagging parts of a paragraph","Apply tags to identify the end of sentences",2,26,95,90,-0.0231481481481482,0.519927536231884,257,"2014-01-22-09-43",8
"10","20AC0RYNJ92NTXY97BDJ1UH338I496",NA,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",4,4,2497,2497,NA,NA,15,"2014-02-05-23-12",21
"11","20AC0RYNJ92T2UW8YODJ2UH015G49J",0.19047619047619,0.5,0.25,1800,"[ """"]","Memorability Game","Test your memory of cartoon images! $0.25 per 4 minute task. You can do multiple HITs one after another - it is a fun and interesting HIT!",12,19,151,139,-0.19047619047619,9.23809523809524,208,"2013-11-24-23-35",1
"12","20AC0SWP89K5K2ABUUDJ2UH024K49B",NA,0.3,0.3,3600,"[ ""Masters has been granted""]","Find Social Media Accounts","Given the blogger&#39;s website, we need you to find their social media account handles",1,1,224,224,NA,NA,113,"2014-01-03-01-18",2
"13","20NENHMVHVKC0VCBIPY4P79MX3724J",NA,0.3,0.05,600,"[ ""Project Oscar Trusted Worker Qualification has been granted""]","Copy Text from Business Card","Please copy text from this business card into the text fields below",2077,2077,1208,1208,NA,NA,44,"2013-09-20-11-14",1
"14","20NENHMVHVKC207UPVY4R79PXZ824C",0.0462962962962963,0.06,0.06,3600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 97""]","Compare colors in an image","Given pairs of points in images, your job is to decide which of two points is darker. (updated 2014-01-13 04:54:05.099448+00:00)",3,51,51,31,-0.0462962962962963,0.75886524822695,37,"2014-01-13-06-11",43
"15","20NENHMVHVKC6WQ2X9Y4R79PX2842F",0.0596205962059621,0.1,0.1,3600,"[ ""Masters has been granted""]","Describe an image","Please view and categorize the image across the provided category drop-down menus",5,87,150,106,-0.0596205962059621,1.43691659138814,49,"2014-01-27-16-49",3
"16","20NENHMVHVKC7MCH8BY4T79MR5B24O",2.33333333333333,0.12,0.02,600,"[ ""Masters has been granted""]","Find What Students are Studying","Given the Students Name, Go to their University Directory to Find What they are Studying",1,5,956,872,-2.33333333333333,44.6666666666667,163,"2014-02-10-05-14",2
"17","20NENHMVHVKC7YP2Q9Y4U79KV4D24A",31.8518518518519,0.01,0.01,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,7,6019,4299,-31.8518518518519,6645.46666666667,15,"2014-02-10-01-56",90
